"","Language","World.Region","Language.Family","Latitude","Longitude"
"839","Punjabi","Southern Asia","Indo-European",40.63155866,-73.96582408
"840","Punjabi","Southern Asia","Indo-European",40.691365,-73.827835
"841","Q'anjob'al","Central America","Mayan",40.81152,-73.914362
"842","Q'eqchi'","Central America","Mayan",41.92698,-73.99737
"843","Quebec French","Northern America","Indo-European",40.772765,-73.960333
"844","Rakhine","Southeastern Asia","Sino-Tibetan",40.74371103,-73.89160054
"845","Rakhine","Southeastern Asia","Sino-Tibetan",40.67974,-73.96921
"846","Ramaluk","Southern Asia","Sino-Tibetan",40.74699277,-73.89161824
"847","Rangpuri","Southern Asia","Indo-European",40.687334,-73.835771
"848","Romani","Southern Europe","Indo-European",40.721744,-73.99335721
"849","Romani","Southern Europe","Indo-European",40.70152109,-73.90802983
"850","Romanian","Eastern Europe","Indo-European",40.70541286,-73.90177778
"851","Romanian","Eastern Europe","Indo-European",40.745089,-73.921225
"852","Romanian","Eastern Europe","Indo-European",40.787847,-73.9697
"853","Romansh","Western Europe","Indo-European",40.588353,-73.956461
"854","Rushani","Central Asia","Indo-European",40.617724,-73.982681
"855","Rushani","Central Asia","Indo-European",40.731044,-73.867194
"856","Russian","Eastern Europe","Indo-European",40.57539,-73.961612
"857","Russian","Eastern Europe","Indo-European",40.571637,-74.093101
"858","Russian","Eastern Europe","Indo-European",40.902686,-73.902505
"859","Russian","Eastern Europe","Indo-European",40.729051,-73.860054
"860","Russian","Eastern Europe","Indo-European",40.83949708,-73.65098877
"861","Russian","Eastern Europe","Indo-European",40.78897593,-73.95423556
"862","Rusyn","Eastern Europe","Indo-European",40.727934,-73.982772
"863","Rusyn","Eastern Europe","Indo-European",40.54321708,-74.60723156
"864","Rusyn","Eastern Europe","Indo-European",40.71942159,-73.95342952
"865","Rusyn","Eastern Europe","Indo-European",40.88376112,-74.20264294
"866","Sami","Northern Europe","Uralic",40.64637419,-74.0035
"867","Samoan","Polynesia","Austronesian",40.751893,-73.973397
"868","Sampang","Southern Asia","Sino-Tibetan",40.746188,-73.889129
"869","Sandwippa","Southern Asia","Indo-European",40.641732,-73.982326
"870","Sango","Middle Africa","Atlantic-Congo",40.752812,-73.965845
"871","Sangsari","Southern Asia","Indo-European",40.708068,-73.828673
"872","Sanskrit","Southern Asia","Indo-European",40.752992,-73.816982
"873","Sanskrit","Southern Asia","Indo-European",40.682057,-73.853563
"874","Santali","Southern Asia","Indo-European",40.703264,-73.805105
"875","Saraiki","Southern Asia","Indo-European",40.62975153,-73.96627248
"876","Sasak","Southeastern Asia","Austronesian",40.757561,-73.911035
"877","Sasak","Southeastern Asia","Austronesian",40.742606,-73.884472
"878","Scots","Northern Europe","Indo-European",40.757643,-74.156355
"879","Scots","Northern Europe","Indo-European",40.725598,-74.00584
"880","Scottish Gaelic","Northern Europe","Indo-European",40.753742,-73.992103
"881","Seke","Southern Asia","Sino-Tibetan",40.64219974,-73.96176433
"882","Seke","Southern Asia","Sino-Tibetan",40.748514,-73.890595
"883","Senoufo","Western Africa","Atlantic-Congo",40.814717,-73.943795
"884","Senoufo","Western Africa","Atlantic-Congo",40.83070223,-73.91847491
"885","Serbian","Southern Europe","Indo-European",40.65913936,-74.21633314
"886","Serbian","Southern Europe","Indo-European",40.744062,-73.989949
"887","Serbian","Southern Europe","Indo-European",40.69963,-73.888709
"888","Serer","Western Africa","Atlantic-Congo",40.802883,-73.951915
"889","Serer","Western Africa","Atlantic-Congo",40.83621,-73.852319
"890","Seychellois Creole","Eastern Africa","Indo-European",40.75001,-73.971732
"891","Shan","Southeastern Asia","Tai-Kadai",40.739978,-73.878612
"892","Shan","Southeastern Asia","Tai-Kadai",40.70558564,-73.87082892
"893","Shan","Southeastern Asia","Tai-Kadai",40.67949,-73.968762
"894","Shanghainese","Eastern Asia","Sino-Tibetan",40.715912,-73.996684
"895","Shanghainese","Eastern Asia","Sino-Tibetan",40.751374,-73.823498
"896","Shapsug","Western Asia","Abkhaz-Adyge",40.938236,-74.201781
"897","Sharchop","Southern Asia","Sino-Tibetan",40.741297,-73.918333
"898","Sherpa","Southern Asia","Sino-Tibetan",40.745408,-73.8895555
"899","Sherpa","Southern Asia","Sino-Tibetan",40.640372,-73.96564
"900","Shina","Southern Asia","Indo-European",40.632465,-74.006391
"901","Shina","Southern Asia","Indo-European",40.73186501,-73.86658213
"902","Shinnecock","Northern America","Algic",40.87444,-72.432222
"903","Shona","Eastern Africa","Atlantic-Congo",40.76193,-73.949924
"904","Shuar","South America","Chicham",40.740289,-73.852694
"905","Shughni","Southern Asia","Indo-European",40.617631,-73.990366
"906","Shughni","Southern Asia","Indo-European",40.731689,-73.867039
"907","Shupamem","Middle Africa","Atlantic-Congo",40.845503,-73.889849
"908","Sichuanese","Eastern Asia","Sino-Tibetan",40.754672,-73.824709
"909","Sicilian","Southern Europe","Indo-European",40.666198,-74.121954
"910","Sicilian","Southern Europe","Indo-European",40.8547436,-73.88834188
"911","Sicilian","Southern Europe","Indo-European",40.685819,-73.995809
"912","Sicilian","Southern Europe","Indo-European",40.59537677,-73.99041031
"913","Sicilian","Southern Europe","Indo-European",40.717594,-73.99632
"914","Sicilian","Southern Europe","Indo-European",40.707108,-73.903259
"915","Sierra Leone Creole","Western Africa","Indo-European",40.843582,-73.903472
"916","Sierra Leone Creole","Western Africa","Indo-European",40.617367,-74.080688
"917","Sierra Totonac","Central America","Totonacan",40.875742,-74.123967
"918","Denjongke","Southern Asia","Sino-Tibetan",40.7526,-73.9243
"919","Silesian","Eastern Europe","Indo-European",40.731949,-73.949975
"920","Sindhi","Southern Asia","Indo-European",40.743501,-73.889015
"921","Sindhi","Southern Asia","Indo-European",40.74202,-73.98291
"922","Sindhi","Southern Asia","Indo-European",40.63031543,-73.9660899
"923","Singlish","Southeastern Asia","Indo-European",40.753147,-73.968607
"924","Sinhalese","Southern Asia","Indo-European",40.625724,-74.075211
"925","Sinhalese","Southern Asia","Indo-European",40.40002942,-74.58920329
"926","Sinhalese","Southern Asia","Indo-European",40.727853,-73.750883
"927","Siwi","Northern Africa","Afro-Asiatic",40.767961,-73.911701
"928","Slovak","Eastern Europe","Indo-European",40.72370739,-73.95087109
"929","Slovak","Eastern Europe","Indo-European",40.763807,-73.958091
"930","Slovak","Eastern Europe","Indo-European",40.948007,-73.873622
"931","Slovenian","Eastern Europe","Indo-European",40.727947,-73.986446
"932","Slovenian","Eastern Europe","Indo-European",40.70671312,-73.90525162
"933","Somali","Eastern Africa","Afro-Asiatic",40.803833,-73.953558
"934","Songhay","Western Africa","Songhay",40.80295,-73.946436
"935","Songhay","Western Africa","Songhay",40.86454324,-73.89060028
"936","Soninke","Western Africa","Mande",40.863343,-73.896855
"937","Soninke","Western Africa","Mande",40.827056,-73.944652
"938","South African English","Southern Africa","Indo-European",40.747171,-73.972777
"939","South Levantine Arabic","Western Asia","Afro-Asiatic",40.63548973,-74.02053695
"940","South Levantine Arabic","Western Asia","Afro-Asiatic",40.918426,-74.167821
"941","Spanglish","Northern America","Indo-European",40.798345,-73.941509
"942","Spanglish","Northern America","Indo-European",40.722038,-73.981483
"943","Sranan Tongo","South America","Indo-European",40.688973,-73.817072
"944","Sri Lankan English","Southern Asia","Indo-European",40.628022,-74.074366
"945","Sri Lankan Tamil","Southern Asia","Dravidian",40.615925,-74.102898
"946","Sri Lankan Tamil","Southern Asia","Dravidian",40.715457,-73.741532
"947","St. Kitts Creole","Caribbean","Indo-European",40.87601637,-73.82862223
